ID,Name,Sex,AGE_15_20,AGE_20_25,AGE_25_30,AGE_30_35,AGE_35_40,AGE_40_and_above,Height_Below_200,Height_Above_200,Weight_50_75,Weight_75_100,Weight_above_100,Medal
165,Miranda Joy Ayim,0,0,1,0,0,0,0,1,0,1,0,0,0
166,Miranda Joy Ayim,0,0,0,1,0,0,0,1,0,1,0,0,0
167,"Elias ""Larry"" Ayuso Carrillo",1,0,0,1,0,0,0,1,0,0,1,0,0
168,Jennifer Lynn Azzi,0,0,0,1,0,0,0,1,0,1,0,0,3
169,Ba Yan,0,0,1,0,0,0,0,1,0,0,1,0,1
170,Luka Babi,1,0,1,0,0,0,0,0,1,0,1,0,0
171,Elna Babkina,0,1,0,0,0,0,0,1,0,1,0,0,0
172,Martina Babkov (-Balatkov),0,0,1,0,0,0,0,1,0,1,0,0,0
173,Kurt Bachmann,1,0,1,0,0,0,0,1,0,0,1,0,0
174,Carlos Badion,1,0,1,0,0,0,0,1,0,0,1,0,0
175,Carlos Badion,1,0,1,0,0,0,0,1,0,0,1,0,0
176,Stephan Michael Baeck,1,0,0,1,0,0,0,1,0,0,1,0,0
177,Juan Ramn Bez Maurio,1,0,1,0,0,0,0,1,0,0,1,0,0
178,Juan Ramn Bez Maurio,1,0,0,1,0,0,0,1,0,0,1,0,0
179,Mykola Lvovych Bahlei,1,0,0,1,0,0,0,1,0,0,1,0,2
180,Katsuo Bai,1,0,1,0,0,0,0,1,0,0,1,0,0
181,Philippe Baillet,1,1,0,0,0,0,0,1,0,0,1,0,0
182,Cameron David Bairstow,1,0,1,0,0,0,0,0,1,0,0,1,0
183,Antonietta Baistrocchi,0,0,1,0,0,0,0,1,0,1,0,0,0
184,Vesna Bajkua,0,1,0,0,0,0,0,1,0,1,0,0,2
185,Efthymios Bakatsias,1,0,0,1,0,0,0,1,0,0,1,0,0
186,"Vincent Lamont ""Vin"" Baker",1,0,0,1,0,0,0,0,1,0,0,1,3
187,Ji Balatk,1,0,1,0,0,0,0,1,0,0,1,0,0
188,Viviana Ballabio,0,0,0,1,0,0,0,1,0,1,0,0,0
189,"Samuel J. ""Sam"" Balter, Jr.",1,0,0,1,0,0,0,1,0,1,0,0,3
190,Christian Baltzer,1,1,0,0,0,0,0,1,0,0,1,0,0
191,Christian Baltzer,1,0,1,0,0,0,0,1,0,0,1,0,0
192,Bang Yeol,1,0,1,0,0,0,0,1,0,1,0,0,0
193,Lszl Bnhegyi,1,0,1,0,0,0,0,1,0,0,1,0,0
194,Lszl Bnhegyi,1,0,0,1,0,0,0,1,0,0,1,0,0
195,Marko Bani,1,0,0,1,0,0,0,0,1,0,0,1,0
196,Antal Bnkuti,1,0,1,0,0,0,0,1,0,1,0,0,0
197,"Michael Allen ""Mike"" Bantom",1,1,0,0,0,0,0,0,1,0,1,0,2
198,Stanko Bara,1,0,1,0,0,0,0,0,1,0,0,1,0
199,Yelena Viktorovna Baranova,0,1,0,0,0,0,0,1,0,0,1,0,3
200,Yelena Viktorovna Baranova,0,0,1,0,0,0,0,1,0,0,1,0,0
201,Yelena Viktorovna Baranova,0,0,0,0,1,0,0,1,0,0,1,0,1
202,Leandro Mateus Barbosa,1,0,0,1,0,0,0,1,0,0,1,0,0
203,Leandro Mateus Barbosa,1,0,0,0,1,0,0,1,0,0,1,0,0
204,Olesya Ivanovna Barel,0,0,0,1,0,0,0,1,0,0,1,0,1
205,Renzo Bariviera,1,0,1,0,0,0,0,1,0,0,1,0,0
206,Renzo Bariviera,1,0,0,1,0,0,0,1,0,0,1,0,0
207,"Clifford Eugene ""Cliff"" Barker",1,0,0,1,0,0,0,1,0,0,1,0,3
208,Charles Wade Barkley,1,0,0,1,0,0,0,1,0,0,0,1,3
209,Charles Wade Barkley,1,0,0,0,1,0,0,1,0,0,0,1,3
210,"Donald Argee ""Don"" Barksdale",1,0,1,0,0,0,0,1,0,0,1,0,3
211,David Barlow,1,0,1,0,0,0,0,0,1,0,1,0,0
212,David Barlow,1,0,0,1,0,0,0,0,1,0,1,0,0
213,"Beverly Ann ""Bev"" Barnes",0,0,1,0,0,0,0,1,0,1,0,0,0
214,Harrison Bryce Jordan Barnes,1,0,1,0,0,0,0,0,1,0,0,1,3
215,"Velvet James ""Jim"" Barnes",1,0,1,0,0,0,0,0,1,0,0,1,3
216,"Anthony ""Tony"" Barnett",1,0,1,0,0,0,0,1,0,0,1,0,0
217,Andr Barrais,1,0,0,1,0,0,0,1,0,0,1,0,2
218,"Michael Thomas ""Mike"" Barrett",1,0,1,0,0,0,0,1,0,1,0,0,3
219,Rowan Art Barrett,1,0,0,1,0,0,0,1,0,0,1,0,0
220,Milton Lourenco Rosa Barros,1,0,1,0,0,0,0,1,0,1,0,0,0
221,Lenka Bartkov,0,0,1,0,0,0,0,1,0,1,0,0,0
222,Kateina Bartoov,0,0,1,0,0,0,0,1,0,1,0,0,0
223,Olga Fyodorovna Barysheva-Korostelyova,0,0,1,0,0,0,0,1,0,1,0,0,3
224,Olga Fyodorovna Barysheva-Korostelyova,0,0,1,0,0,0,0,1,0,1,0,0,3
225,Aleksandr Vasilyevich Bashminov,1,0,1,0,0,0,0,0,1,0,0,1,0
226,Gianluca Basile,1,0,1,0,0,0,0,1,0,0,1,0,0
227,Gianluca Basile,1,0,0,1,0,0,0,1,0,0,1,0,2
228,Gunta Bako,0,0,0,1,0,0,0,1,0,1,0,0,0
229,"Susannah Wilson ""Suzie"" Bates",0,1,0,0,0,0,0,1,0,1,0,0,0
230,Suzy Batkovic (-Brown),0,0,1,0,0,0,0,1,0,0,1,0,2
231,Suzy Batkovic (-Brown),0,0,0,1,0,0,0,1,0,0,1,0,2
